0x0459 TB_GETINSERTMARKCOLOR
0x045A EM_GETTEXTMODE
0x045A TB_MAPACCELERATORW
0x045B EM_AUTOURLDETECT
0x045B TB_GETSTRINGW
0x045C EM_GETAUTOURLDETECT
0x045C TB_GETSTRINGA
0x045D EM_SETPALETTE
0x045E EM_GETTEXTEX
0x045F EM_GETTEXTLENGTHEX
0x0460 EM_SHOWSCROLLBAR
0x0461 EM_SETTEXTEX
0x0463 TAPI_REPLY
0x0464 ACM_OPENA
0x0464 BFFM_SETSTATUSTEXTA
0x0464 CDM_FIRST
0x0464 CDM_GETSPEC
0x0464 EM_SETPUNCTUATION
0x0464 IPM_CLEARADDRESS
0x0464 WM_CAP_UNICODE_START
0x0465 ACM_PLAY
0x0465 BFFM_ENABLEOK
0x0465 CDM_GETFILEPATH
0x0465 EM_GETPUNCTUATION
0x0465 IPM_SETADDRESS
0x0465 PSM_SETCURSEL
0x0465 UDM_SETRANGE
0x0465 WM_CHOOSEFONT_SETLOGFONT
0x0466 ACM_STOP
0x0466 BFFM_SETSELECTIONA
0x0466 CDM_GETFOLDERPATH
0x0466 EM_SETWORDWRAPMODE
0x0466 IPM_GETADDRESS
0x0466 PSM_REMOVEPAGE
0x0466 UDM_GETRANGE
0x0466 WM_CAP_SET_CALLBACK_ERRORW
0x0466 WM_CHOOSEFONT_SETFLAGS
0x0467 ACM_OPENW
0x0467 BFFM_SETSELECTIONW
0x0467 CDM_GETFOLDERIDLIST
0x0467 EM_GETWORDWRAPMODE
0x0467 IPM_SETRANGE
0x0467 PSM_ADDPAGE
0x0467 UDM_SETPOS
0x0467 WM_CAP_SET_CALLBACK_STATUSW
0x0468 BFFM_SETSTATUSTEXTW
0x0468 CDM_SETCONTROLTEXT
0x0468 EM_SETIMECOLOR
0x0468 IPM_SETFOCUS
0x0468 PSM_CHANGED
0x0468 UDM_GETPOS
0x0469 CDM_HIDECONTROL
0x0469 EM_GETIMECOLOR
0x0469 IPM_ISBLANK
0x0469 PSM_RESTARTWINDOWS
0x0469 UDM_SETBUDDY
0x046A CDM_SETDEFEXT
0x046A EM_SETIMEOPTIONS
0x046A PSM_REBOOTSYSTEM
0x046A UDM_GETBUDDY
0x046B EM_GETIMEOPTIONS
0x046B PSM_CANCELTOCLOSE
0x046B UDM_SETACCEL
0x046C EM_CONVPOSITION
0x046C EM_CONVPOSITION
0x046C PSM_QUERYSIBLINGS
0x046C UDM_GETACCEL
0x046D MCIWNDM_GETZOOM
0x046D PSM_UNCHANGED
0x046D UDM_SETBASE
0x046E PSM_APPLY
0x046E UDM_GETBASE
0x046F PSM_SETTITLEA
0x046F UDM_SETRANGE32
0x0470 PSM_SETWIZBUTTONS
0x0470 UDM_GETRANGE32
0x0470 WM_CAP_DRIVER_GET_NAMEW
0x0471 PSM_PRESSBUTTON
0x0471 UDM_SETPOS32
0x0471 WM_CAP_DRIVER_GET_VERSIONW
0x0472 PSM_SETCURSELID
0x0472 UDM_GETPOS32
0x0473 PSM_SETFINISHTEXTA
0x0474 PSM_GETTABCONTROL
0x0475 PSM_ISDIALOGMESSAGE
0x0476 MCIWNDM_REALIZE
0x0476 PSM_GETCURRENTPAGEHWND
0x0477 MCIWNDM_SETTIMEFORMATA
0x0477 PSM_INSERTPAGE
0x0478 EM_SETLANGOPTIONS
0x0478 MCIWNDM_GETTIMEFORMATA
0x0478 PSM_SETTITLEW
0x0478 WM_CAP_FILE_SET_CAPTURE_FILEW
0x0479 EM_GETLANGOPTIONS
0x0479 MCIWNDM_VALIDATEMEDIA
0x0479 PSM_SETFINISHTEXTW
0x0479 WM_CAP_FILE_GET_CAPTURE_FILEW
0x047A EM_GETIMECOMPMODE
0x047B EM_FINDTEXTW
0x047B MCIWNDM_PLAYTO
0x047B WM_CAP_FILE_SAVEASW
0x047C EM_FINDTEXTEXW
0x047C MCIWNDM_GETFILENAMEA
0x047D EM_RECONVERSION
0x047D MCIWNDM_GETDEVICEA
0x047D PSM_SETHEADERTITLEA
0x047D WM_CAP_FILE_SAVEDIBW
0x047E EM_SETIMEMODEBIAS
0x047E MCIWNDM_GETPALETTE
0x047E PSM_SETHEADERTITLEW
0x047F EM_GETIMEMODEBIAS
0x047F MCIWNDM_SETPALETTE
0x047F PSM_SETHEADERSUBTITLEA
0x0480 MCIWNDM_GETERRORA
0x0480 PSM_SETHEADERSUBTITLEW
0x0481 PSM_HWNDTOINDEX
0x0482 PSM_INDEXTOHWND
0x0483 MCIWNDM_SETINACTIVETIMER
0x0483 PSM_PAGETOINDEX
0x0484 PSM_INDEXTOPAGE
0x0485 DL_BEGINDRAG
0x0485 MCIWNDM_GETINACTIVETIMER
0x0485 PSM_IDTOINDEX
0x0486 DL_DRAGGING
0x0486 PSM_INDEXTOID
0x0487 DL_DROPPED
0x0487 PSM_GETRESULT
0x0488 DL_CANCELDRAG
0x0488 PSM_RECALCPAGESIZES
0x048C MCIWNDM_GET_SOURCE
0x048D MCIWNDM_PUT_SOURCE
0x048E MCIWNDM_GET_DEST
0x048F MCIWNDM_PUT_DEST
0x0490 MCIWNDM_CAN_PLAY
0x0491 MCIWNDM_CAN_WINDOW
0x0492 MCIWNDM_CAN_RECORD
0x0493 MCIWNDM_CAN_SAVE
